staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
13,1,15.0,31.901910724000118,32.40435078399969,32.40435078399969,32.42319851100001,32.696647373000815,right,15.0,1,1,0.47066807999908633,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
14,1,14.0,32.88832142300089,33.37785286600047,33.37785286600047,33.388664587000676,33.67333603800034,right,14.0,1,1,0.4503449409985478,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
15,1,14.0,33.8465083810006,34.33221337100076,34.33221337100076,34.343326087000605,34.63071313900036,left,-14.0,1,1,0.41559451300054207,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
16,1,14.0,34.76970100899962,35.2600323860006,35.2600323860006,35.27269381000042,35.55971428799967,right,14.0,1,1,0.4766763469997386,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
17,1,13.0,35.75037601599979,36.243779427000845,36.243779427000845,36.25538374499956,36.54262004500015,left,-13.0,1,1,0.3635501189983188,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
18,1,13.0,36.621075152999765,37.1083673739995,37.1083673739995,37.12155974599955,37.40528247600014,left,-13.0,1,1,0.4364784299996245,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
19,1,13.0,37.56019637999998,38.050241102000655,38.050241102000655,38.06117520100088,38.3473309029996,left,-13.0,1,1,0.47129925999979605,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
20,1,12.0,38.555803336999816,39.044517641999846,39.044517641999846,39.056599396999445,39.345341972000824,right,12.0,0,0,0.2862657439982286,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
21,1,13.0,39.345341972000824,39.83871036200071,39.83871036200071,39.84973302199978,40.13139054800013,left,-13.0,1,1,0.6070061689988506,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
22,1,13.0,40.467785181999716,40.95814750200043,40.95814750200043,40.97412722499939,41.25531625599979,right,13.0,1,1,0.38230025499797193,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
23,0.5,13.0,41.35580619199936,41.85483695400035,41.85483695400035,41.87429998799962,42.15508163999948,right,13.0,1,1,0.46585286799927417,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
24,0.5,12.5,42.33465619399976,42.82200933999957,42.82200933999957,42.83257571800095,43.11399178700049,right,12.5,1,1,0.3526706419997936,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
25,0.5,12.5,43.19505335999929,43.68973551700037,43.68973551700037,43.704365166999196,43.992420538999795,left,-12.5,1,1,0.44265767199794936,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
26,0.5,12.5,44.15131976399971,44.64076238999951,44.64076238999951,44.65509003899933,44.9385220740005,right,12.5,1,1,0.3835969269985071,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
27,0.5,12.0,45.053730940000605,45.531296838000344,45.531296838000344,45.56109162800021,45.82617116599977,left,-12.0,1,1,0.29967457899874717,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
28,0.5,12.0,45.849442988999726,46.34320527000091,46.34320527000091,46.357993747000364,46.64436575400032,left,-12.0,1,1,0.37665175099937187,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
29,0.5,12.0,46.73626939099995,47.222456825000336,47.222456825000336,47.23278227800074,47.52148663799926,left,-12.0,1,1,0.34982724799920106,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
30,0.5,11.5,47.58972749900022,48.07960752700092,48.07960752700092,48.09248500300055,48.380620305000775,left,-11.5,1,1,0.3437079929990432,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
31,0.5,11.5,48.453916558000856,48.93103091800003,48.93103091800003,48.95855568799925,49.22552081499998,left,-11.5,1,1,0.3050709729996015,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
32,0.5,11.5,49.2500354620006,49.742692337000335,49.742692337000335,49.75534903600055,50.041640395000286,left,-11.5,1,1,0.31007572099952085,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
33,0.5,11.0,50.066628906000915,50.56025593999948,50.56025593999948,50.571980124999754,50.85841952100054,right,11.0,0,0,0.3296485720002238,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
34,0.5,11.5,50.90458901800048,51.38733997199961,51.38733997199961,51.39758672800053,51.68815566900048,right,11.5,1,1,0.5323287799983518,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
35,0.5,11.5,51.93384605999927,52.415937720999864,52.415937720999864,52.437434675000986,52.71384369000043,left,-11.5,1,1,0.5419551260001754,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
